Composer,Work,Track,Valence,Arousal,Quadrant
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Prélude,0.35600000000000004,0.0132,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Tango,0.152,0.0169,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Malagueña,0.0576,0.0811,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Serenata,0.374,0.09699999999999999,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Capricho Catalan,0.102,0.05,3
Isaac Albéniz,"Isaac Albéniz : España, Opus 165",Zortzico,0.385,0.0479,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 1. Granada (Serenata)",0.125,0.0427,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 2. Cataluna (Corranda)",0.126,0.0784,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 3. Sevilla (Sevillanas)",0.0783,0.10300000000000001,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 4. Cadiz (Cancion)",0.287,0.0323,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 5. Asturias (Leyenda)",0.21600000000000003,0.0694,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 6. Aragon (Fantasia)",0.10400000000000001,0.0532,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 7. Castilla (Seguidillas)",0.12,0.0697,3
Isaac Albéniz,"Albeniz: Suite española No. 1, Op. 47","Suite espanola No. 1, Op. 47: No. 8. Cuba (Capricho)",0.198,0.0359,3
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt I,0.0824,0.17,3
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt II,0.0624,0.0238,3
Ludwig van Beethoven,"Sonata No. 8 C minor (Pathetique), Opus 13",Sonata No. 8 C minor (Pathetique) Opus 13 Mvmt III,0.265,0.205,3
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Adagio Sostenuto,0.162,0.0612,3
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Allegretto,0.605,0.145,4
Piano Time,"Beethoven's Moonlight Sonata (Sonata No. 14 in C# Minor ""Quasi Una Fantasia"", Opus 27/2)",Presto Agitato,0.134,0.179,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Für Elise (For Elise) in A-Moll, WwO 59: Poco moto",0.235,0.0126,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: I. Allegro Molto E Con Brio",0.35600000000000004,0.0337,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: II. Adagio Molto",0.29100000000000004,0.011000000000000001,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 5 in C-Minor, Op. 10: III. Prestissimo",0.536,0.10800000000000001,4
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: I. Allegro con brio",0.441,0.0814,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: II. Adagio Con Molta Espressione",0.11900000000000001,0.0196,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: III. Minuetto",0.5670000000000001,0.0218,4
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 11 in B-Dur, Op. 22: IV. Rondo-Allegretto",0.5429999999999999,0.0695,4
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 21 in C Major, Opus 53: I. Allegro con brio - Waldstein",0.179,0.0713,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 21 in C Major, Opus 53: II. Adagio Molto - Waldstein",0.0865,0.0015300000000000001,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 21 in C Major, Opus 53: III. Allegro moderato - Waldstein",0.102,0.0315,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 23 in F Minor (Appassionata), Opus 57: I Allegro assai",0.0571,0.044000000000000004,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 23 in F Minor (Appassionata), Opus 57: II Andante con moto",0.14400000000000002,0.0137,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 23 in F Minor (Appassionata), Opus 57: III Allegro ma non troppo",0.0793,0.124,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 26 in Eb Major (Les Adieux), Opus 81a: I Adagio",0.265,0.027999999999999997,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 26 in Eb Major (Les Adieux), Opus 81a: II Andante Espressivo",0.131,0.00605,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 26 in Eb Major (Les Adieux), Opus 81a: III Vivacissimamente",0.267,0.0594,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: I Allegro",0.353,0.0784,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: II Scherzo",0.29600000000000004,0.0582,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: III Adagio Sostenuto",0.0617,0.0138,3
Ludwig van Beethoven,Beethoven - Piano Sonatas,"Sonata No. 29 in Bb Major (Hammerklavier), Opus 106: IV Largo - Allegro",0.317,0.0812,3
Ludwig van Beethoven,"Beethoven Sonata No. 27 in E Minor, Op. 90","Sonata No. 27 in E Minor, Op. 90: I",0.0489,0.0313,3
Ludwig van Beethoven,"Beethoven Sonata No. 27 in E Minor, Op. 90","Sonata No. 27 in E Minor, Op. 90: II",0.155,0.0518,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: I. Allegro",0.0863,0.0507,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: II. Andante",0.0694,0.00358,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: III. Scherzo. Allegro molto e con fuoco",0.19399999999999998,0.11800000000000001,3
Johannes Brahms,"Brahms: Piano Sonata No. 1 in C Major, Op. 1","Piano Sonata No. 1 in C Major, Op. 1: IV. Finale. Allegro con fuoco",0.0985,0.149,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: The Pearls",0.349,0.15,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: The Fountain",0.455,0.04,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Agitato",0.276,0.19,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Velocity",0.273,0.21899999999999997,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Awaking in the Woods",0.659,0.20600000000000002,4
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Thunderstorm",0.20199999999999999,0.0703,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: The Sylphs",0.386,0.0261,3
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Separation",0.547,0.0999,4
Jacques Miroe,"Burgmüller: Etudes, Op. 109","Etudes, Op. 109: Spinning Song",0.39299999999999996,0.166,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 1 in C Major",0.155,0.16399999999999998,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 2 in A Minor",0.0888,0.0037,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 3 in G Major",0.377,0.0399,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 4 in E Minor",0.0356,0.0107,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 5 in D Major",0.289,0.195,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 6 in B Minor",0.149,0.00409,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 7 in A Major",0.27699999999999997,0.0025800000000000003,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 8 in F-Sharp Minor",0.045,0.151,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 9 in E Major",0.0326,0.0159,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 10 in C-Sharp Minor",0.47700000000000004,0.0282,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 11 in B Major",0.41200000000000003,0.0333,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 12 in G-Sharp Minor",0.382,0.225,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 13 in F-Sharp Major",0.12300000000000001,0.00281,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 14 in E-Flat Minor",0.14400000000000002,0.191,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 15 in D-Flat Major ""Raindrop""",0.0703,0.00281,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 16 in B-Flat Minor",0.624,0.284,4
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 17 in A-Flat Major",0.0508,0.0378,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 18 in F Minor",0.391,0.243,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No.19 in E-Flat Major",0.321,0.0629,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 20 in C Minor",0.237,0.0017800000000000001,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 21 in C-Flat Major",0.0522,0.0213,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 22 in G Minor",0.894,0.39,4
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 23 in F Major",0.324,0.0178,3
Frédéric Chopin,Chopin Preludes,"Preludes, Op. 28: No. 24 in D Minor",0.0631,0.252,3
Frédéric Chopin,"Frédéric Chopin: 4 Mazurkas, Op. 33","Frédéric Chopin: Mazurka No.2 in D Major, Op. 33",0.773,0.264,4
Frédéric Chopin,"Frédéric Chopin: 4 Mazurkas, Op. 33","Frédéric Chopin: Mazurka No.4 in B Minor, Op. 33",0.27899999999999997,0.21100000000000002,3
Frédéric Chopin,Chopin Etudes Op 25,"Etude in A-flat major Op. 25, No. 1 Aeolian Harp or Shepherd Boy",0.11599999999999999,0.17800000000000002,3
Frédéric Chopin,Chopin Etudes Op 25,"Etude in F minor Op. 25, No. 2 The Bees",0.5660000000000001,0.363,4
Frédéric Chopin,Chopin Etudes Op 25,"Etude in F major Op. 25, No. 3 The Horseman",0.8270000000000001,0.429,4
Frédéric Chopin,Chopin Etudes Op 25,"Etude in A minor Op. 25, No. 4 Paganini",0.96,0.327,4
Frédéric Chopin,Chopin Etudes Op 25,"Etude in A minor Op. 25, No. 11 Winter Wind",0.16399999999999998,0.446,3
Frédéric Chopin,Chopin Etudes Op 25,Chopin Opus 25 No. 12,0.11699999999999999,0.19899999999999998,3
Frédéric Chopin,"Chopin: Nocturnes, Op. 27 (MIDI Version)","Nocturnes, Op. 27: No. 1 in C-Sharp Minor - MIDI Version",0.141,0.023,3
Frédéric Chopin,"Chopin: Nocturnes, Op. 27 (MIDI Version)","Nocturnes, Op. 27: No. 2 in D-Flat Major - MIDI Version",0.0816,0.00409,3
Olga Jegunova,"F. Chopin: Scherzo No. 2 in B-Flat Minor, Op. 31","F. Chopin: Scherzo No. 2 in B-Flat Minor, Op. 31",0.0637,0.18,3
Frédéric Chopin,"Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35","Sonata No. 2 in B-Flat Minor, Op. 35: I. Doppio movimento",0.0697,0.151,3
Frédéric Chopin,"Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35","Sonata No. 2 in B-Flat Minor, Op. 35: II. Doppio movimento",0.0589,0.08800000000000001,3
Frédéric Chopin,"Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35","Sonata No. 2 in B-Flat Minor, Op. 35: III. Marche funèbre - Lento",0.177,0.0151,3
Frédéric Chopin,"Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35","Sonata No. 2 in B-Flat Minor, Op. 35: IV. Finale: Presto",0.331,0.0686,3
Frédéric Chopin,"Polonaise in A-Flat Major, Op. 53 ""Heroic""","Polonaise in A-flat major, Op. 53 ""Heroic""",0.225,0.23,3
Frédéric Chopin,"Chopin: Fantaisie-Impromptu In C Sharp Minor, Op. 66","Fantaisie-Impromptu In C Sharp Minor, Op. 66",0.0585,0.0522,3
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in C Major, Op. 36, No. 1: I. Allegro",0.9259999999999999,0.177,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in C Major, Op. 36, No. 1: II. Andante",0.44,0.0651,3
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in C Major, Op. 36, No. 1: III. Vivace",0.426,0.10800000000000001,3
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in G Major, Op. 36, No. 2: I. Allegretto",0.8390000000000001,0.188,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in G Major, Op. 36, No. 2: II. Allegretto",0.518,0.0276,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in G Major, Op. 36, No. 2: III. Allegro",0.63,0.22399999999999998,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in C Major, Op. 36, No. 3: I. Spiritoso",0.504,0.16399999999999998,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in C Major, Op. 36, No. 3: II. Un Poco Adagio",0.461,0.0281,3
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in C Major, Op. 36, No. 3: III. Allegro",0.8690000000000001,0.154,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in F Major, Op. 36, No. 4: I. Con Spirito",0.504,0.187,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in F Major, Op. 36, No. 4: II. Andante Con Espressione",0.381,0.0437,3
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in F Major, Op. 36, No. 4: III. Allegro Vivace",0.8270000000000001,0.133,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in G Major, Op. 36, No. 5: I. Presto",0.56,0.124,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in G Major, Op. 36, No. 5: II. Swiss Air: Allegro Moderato",0.257,0.0941,3
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in G Major, Op. 36, No. 5: III. Rondo: Allegro Di Molto",0.812,0.18100000000000002,4
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in D Major, Op. 36, No. 6: I. Allegro Con Spirito",0.435,0.145,3
Diane Hidy & Keith Snell,"Clementi: Six Sonatinas Op. 36, for the Piano","Sonatina in D Major, Op. 36, No. 6: II. Allegretto Spiritoso",0.695,0.201,4
Claude Debussy,Debussy: Suite bergamasque,"Suite bergamasque, CD. 82: I. Prélude. Moderato (tempo rubato)",0.126,0.046,3
Claude Debussy,Debussy: Suite bergamasque,"Suite bergamasque, CD. 82: II. Menuet. Andantino",0.201,0.039,3
Claude Debussy,Debussy: Suite bergamasque,"Suite bergamasque, CD. 82: III. Clair de lune. Andante très expressif",0.0675,0.00335,3
Claude Debussy,Debussy: Suite bergamasque,"Suite bergamasque, CD. 82: IV. Passepied. Allegretto ma non troppo",0.228,0.04,3
Luka Okros,"Debussy ""Children's corner""",Doctor Gradus ad Parnassum,0.073,0.14400000000000002,3
Luka Okros,"Debussy ""Children's corner""",Jimbo's Lullaby,0.0862,0.0057,3
Luka Okros,"Debussy ""Children's corner""",Serenade of the Doll,0.203,0.0512,3
Luka Okros,"Debussy ""Children's corner""",The Snow is Dancing,0.26899999999999996,0.11199999999999999,3
Luka Okros,"Debussy ""Children's corner""",The Little Shepherd,0.31,0.006509999999999999,3
Luka Okros,"Debussy ""Children's corner""",Cakewalk,0.382,0.14,3
brworkstudio,古典之心,"Rachmaninov-Prélude C# minor, Opus 3-2 (1892)-Prélude (Lento - Agitato)",0.0925,0.292,3
brworkstudio,古典之心,"Rachmaninov-10 Préludes, Opus 23 (1903)-No. 2 (Maestoso)",0.25,0.215,3
brworkstudio,古典之心,"Rachmaninov-10 Préludes, Opus 23 (1903)-No. 3 (Tempo di Minuetto)",0.278,0.052000000000000005,3
brworkstudio,古典之心,"Rachmaninov-10 Préludes, Opus 23 (1903)-No. 5 (Alla marcia)",0.289,0.287,3
brworkstudio,古典之心,"Rachmaninov-10 Préludes, Opus 23 (1903)-No. 7 (Allegro)",0.11800000000000001,0.141,3
brworkstudio,古典之心,"Rachmaninov-13 Préludes, Opus 32 (1910)-No. 1 (Allegro vivace)",0.0718,0.297,3
brworkstudio,古典之心,"Rachmaninov-13 Préludes, Opus 32 (1910)-No. 13 (Grave)",0.0398,0.204,3
brworkstudio,古典之心,"Rachmaninov-8 Études-tableaux, Opus 33 (1914)-No. 5 (Non allegro - Presto)",0.201,0.255,3
brworkstudio,古典之心,"Rachmaninov-8 Études-tableaux, Opus 33 (1914)-No. 6 (Allegro con fuoco)",0.233,0.125,3
brworkstudio,古典之心,"Rachmaninov-8 Études-tableaux, Opus 33 (1914)-No. 8 (Grave)",0.14800000000000002,0.203,3
brworkstudio,古典之心,Godowsky-53 Studies on Études on Frédéric Chopin (1914)-No. 1 (Allegro),0.38799999999999996,0.203,3
brworkstudio,古典之心,Godowsky-Transcription Albéniz Tango (1921)-Tango (Andantino grazioso),0.47700000000000004,0.377,3
brworkstudio,古典之心,"Johann Sebastian Bach-The Well-Tempered Clavier Part I, BWV 846-869 (1722)-Prelude and Fugue in C major BWV 846",0.32299999999999995,0.268,3
brworkstudio,古典之心,"Johann Sebastian Bach-The Well-Tempered Clavier Part I, BWV 846-869 (1722)-Prelude and Fugue in C major BWV 847",0.727,0.33,4
brworkstudio,古典之心,"Johann Sebastian Bach-The Well-Tempered Clavier Part I, BWV 846-869 (1722)-Prelude and Fugue in C major BWV 850",0.654,0.349,4
Haydn,古典樂章,"Haydn Piano Sonata in C major, Hoboken XVI-7 (1766) 1. Movement",0.8170000000000001,0.1,4
Haydn,古典樂章,"Haydn Piano Sonata in C major, Hoboken XVI-7 (1766) 2. Movement",0.41100000000000003,0.0729,3
Haydn,古典樂章,"Haydn Piano Sonata in C major, Hoboken XVI-7 (1766) 3. Movement",0.536,0.13699999999999998,4
Haydn,古典樂章,"Haydn Piano Sonata in G major, Hoboken XVI-8 (1766) 1. Movement",0.5660000000000001,0.18600000000000003,4
Haydn,古典樂章,"Haydn Piano Sonata in G major, Hoboken XVI-8 (1766) 2. Movement",0.591,0.147,4
Haydn,古典樂章,"Haydn Piano Sonata in G major, Hoboken XVI-8 (1766) 3. Movement",0.552,0.131,4
Haydn,古典樂章,"Haydn Piano Sonata in G major, Hoboken XVI-8 (1766) 4. Movement",0.581,0.17,4
Haydn,古典樂章,"Haydn Piano Sonata in F major, Hoboken XVI-9 (1766) 1. Movement",0.406,0.0554,3
Haydn,古典樂章,"Haydn Piano Sonata in F major, Hoboken XVI-9 (1766) 2. Movement",0.514,0.121,4
Haydn,古典樂章,"Haydn Piano Sonata in F major, Hoboken XVI-9 (1766) 3. Movement",0.596,0.218,4
Haydn,古典樂章,"Haydn Piano Sonata in D major, Hoboken XVI-33 (1778) 1. Movement",0.445,0.14800000000000002,3
Haydn,古典樂章,"Haydn Piano Sonata in D major, Hoboken XVI-33 (1778) 2. Movement",0.344,0.128,3
Haydn,古典樂章,"Haydn Piano Sonata in D major, Hoboken XVI-33 (1778) 3. Movement",0.341,0.14300000000000002,3
Haydn,古典樂章,"Haydn Piano Sonata in C major, Hoboken XVI-35 (1780) 1. Movement",0.20600000000000002,0.185,3
Haydn,古典樂章,"Haydn Piano Sonata in C major, Hoboken XVI-35 (1780) 2. Movement",0.389,0.17,3
Haydn,古典樂章,"Haydn Piano Sonata in C major, Hoboken XVI-35 (1780) 3. Movement",0.521,0.107,4
Haydn,古典樂章,"Haydn Piano Sonata in Ab major, Hoboken XVI-43 (1783) 1. Movement",0.307,0.11199999999999999,3
Haydn,古典樂章,"Haydn Piano Sonata in Ab major, Hoboken XVI-43 (1783) 2. Movement",0.61,0.092,4
Haydn,古典樂章,"Haydn Piano Sonata in Ab major, Hoboken XVI-43 (1783) 3. Movement",0.503,0.139,4
Haydn,古典樂章,"Haydn Piano Sonata in G major, Hoboken XVI-40 (1784) 1. Movement",0.192,0.188,3
Haydn,古典樂章,"Haydn Piano Sonata in G major, Hoboken XVI-40 (1784) 2. Movement",0.21,0.11199999999999999,3
Franz Liszt,李斯特.弗朗茨,Liszt Études d exécution transcendante (1851) No. 4 - Mazeppa,0.134,0.226,3
